run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
SRR17128827	SAMN23169433	SRX13313300	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/027/SRR17128827/SRR17128827_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/027/SRR17128827/SRR17128827_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR171/027/SRR17128827	
SRR16955692	SAMN23169405	SRX13147252	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/092/SRR16955692/SRR16955692_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/092/SRR16955692/SRR16955692_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/092/SRR16955692	
SRR17128828	SAMN23169432	SRX13313299	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/028/SRR17128828/SRR17128828_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/028/SRR17128828/SRR17128828_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR171/028/SRR17128828	
SRR17128829	SAMN23169409	SRX13313298	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/029/SRR17128829/SRR17128829_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/029/SRR17128829/SRR17128829_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR171/029/SRR17128829	
SRR16955693	SAMN23169404	SRX13147251	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/093/SRR16955693/SRR16955693_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/093/SRR16955693/SRR16955693_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/093/SRR16955693	
SRR17128830	SAMN23169408	SRX13313297	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/030/SRR17128830/SRR17128830_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/030/SRR17128830/SRR17128830_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR171/030/SRR17128830	
SRR16955694	SAMN23169403	SRX13147250	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/094/SRR16955694/SRR16955694_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/094/SRR16955694/SRR16955694_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/094/SRR16955694	
SRR17128831	SAMN23169407	SRX13313296	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/031/SRR17128831/SRR17128831_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/031/SRR17128831/SRR17128831_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR171/031/SRR17128831	
SRR17128832	SAMN23169406	SRX13313295	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/032/SRR17128832/SRR17128832_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/032/SRR17128832/SRR17128832_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR171/032/SRR17128832	
SRR16955699	SAMN23169398	SRX13147245	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/099/SRR16955699/SRR16955699_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/099/SRR16955699/SRR16955699_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/099/SRR16955699	
SRR17128833	SAMN23169388	SRX13313294	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/033/SRR17128833/SRR17128833_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/033/SRR17128833/SRR17128833_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR171/033/SRR17128833	
SRR17128845	SAMN23169402	SRX13313282	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/045/SRR17128845/SRR17128845_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/045/SRR17128845/SRR17128845_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR171/045/SRR17128845	
SRR16955702	SAMN23169387	SRX13147242	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/002/SRR16955702/SRR16955702_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/002/SRR16955702/SRR16955702_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/002/SRR16955702	
SRR17128803	SAMN23169421	SRX13313324	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/003/SRR17128803/SRR17128803_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/003/SRR17128803/SRR17128803_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR171/003/SRR17128803	
SRR17128849	SAMN23169398	SRX13313278	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/049/SRR17128849/SRR17128849_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/049/SRR17128849/SRR17128849_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR171/049/SRR17128849	
